sbd,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd
02000001,8,7,8.2,7.25,7.75,5.25,,,
02000002,6,7.25,6.6,,,,6.75,5.75,7.25
02000003,9.2,7.75,9.8,8.5,9,8,,,
02000004,8.2,7.5,9.4,,,,7.25,7.25,8.5
02000005,7.8,6.5,9,,,,4.5,5,8.75
02000006,7.4,7.25,8.4,7.25,5.5,6,,,
02000007,7.6,8.25,9.6,,,,7.75,8.25,7.75
02000008,7.6,4.5,7,3.75,8.25,8,,,
02000009,4.4,8,,,,,5.25,7,8.5
02000010,7.8,6.5,9.4,7.25,6.5,7.25,,,
02000011,7.2,7.5,8.8,7.25,7.5,5.75,,,
02000012,6.8,6.5,10,,,,9.25,8.5,8.5
02000013,9.2,7.5,8.6,5.75,9.5,8.5,,,
02000014,7.4,6.5,9,,,,8.25,7,8.25
02000015,8,5.5,8.2,7.25,3.75,5.25,,,
02000016,6.6,6,7.8,,,,6.75,7,8.75
02000017,8.4,8.25,9.6,7.5,6,5,,,
02000018,8.6,7.25,6.6,2.75,8.5,8.75,,,
02000019,6.2,7.25,8.8,,,,7.75,8,8.25
02000020,8.8,5.25,9.4,5.75,9.75,9.25,,,
02000021,8,8.25,9,4.75,8.75,7.25,,,
02000022,7.2,5.75,,6.25,8.25,7.5,,,
02000023,6.2,5.75,,4.75,3.25,5.25,,,
02000024,8,6.75,6.6,6.5,7.5,5.75,,,
02000025,7,7.25,9,,,,6.75,7.25,8.75
02000026,8.4,4.5,8.8,8,5.25,6,,,
02000027,6.8,8.75,7.8,,,,7.75,7.75,7.75
02000028,7.6,4,6.8,1.25,7,4.5,,,
02000029,7.6,7.75,8.6,,,,6.25,8,8
02000030,8.8,7.25,7.8,4.75,9.25,7.75,,,
02000031,7.8,7,,8,8.75,5.5,,,
02000032,7.4,6.5,7.6,4.75,6.75,7,,,
02000033,8.6,6.75,,7,7.25,5.25,,,
02000034,7.8,7,8.8,,,,5,6.75,8
02000035,8.2,7,8.6,5.75,9,7.5,,,
02000036,5.8,5.75,,3.75,5,4.75,,,
02000037,6.8,7.25,,4,8,7.25,,,
02000038,7.8,7.25,8.4,6.25,6,6.75,,,
02000039,7,7.25,,,,,8.5,8,7.75
02000040,7.2,5.75,8.8,4.75,7.25,6.25,,,
02000041,8.6,7.25,9.4,,,,8.25,8.25,9.75
02000042,8,4,8.6,7.25,4,4.75,,,
02000043,7,8.5,9.2,,,,8.25,8.75,9
02000044,7,7,8.2,,,,7.25,7.5,9.5
02000045,5.2,7.75,7.8,,,,7.75,6.5,8.5
02000046,7,5.75,6.4,6.75,7.5,4.75,,,
02000047,8,6.75,,,,,7.75,8,8.25
02000048,8.4,7.5,7,5.25,8.25,7.25,,,
02000049,7,7.25,9.2,7,4.5,5.5,,,
02000050,8.2,7.25,9,8.75,7.5,5.25,,,
02000051,8,8.5,9.4,,,,8.75,6,9.5
02000052,5.4,8,3.6,3,4.25,4.5,,,
02000053,6.2,6.75,7.2,,,,5.75,7.75,8.5
02000054,8.4,8,9,5.75,9,6.5,,,
02000055,8.2,5.5,,7.75,6.25,6,,,
02000056,8,8,8.4,,,,6.5,7.5,7.75
02000057,6.6,7.75,8,,,,7.25,6.25,8.25
02000058,8.2,7.25,,5,5,6.75,,,
02000059,6.8,7.5,9.4,4.75,6.25,6.5,,,
02000060,8.6,8.25,9.6,3.75,8.5,8.75,,,
02000061,7,6,7.2,,,,7.5,6.5,8.25
02000062,4.2,5.75,3.8,2.5,3.5,4,,,
02000063,9.2,8.5,9.6,8.25,9.25,8.25,,,
02000064,7.8,7.5,8.6,7,7.5,6.75,,,
02000065,8,6.5,9.2,7.75,5.25,7.25,,,
02000066,6,5.25,5.8,,,,8,0,0
02000067,8.6,7,8.8,,,,7,8.75,8.5
02000068,7.8,7,7.8,7,8.25,6.25,,,
