sbd,toan,ngu_van,ngoai_ngu,li,hoa,sinh,lich_su,dia_ly,gdcd
02000001,8.00,7.00,8.20,7.25,7.75,5.25,-1,-1,-1,
02000002,6.00,7.25,6.60,-1,-1,-1,6.75,5.75,7.25,
02000003,9.20,7.75,9.80,8.50,9.00,8.00,-1,-1,-1,
02000004,8.20,7.50,9.40,-1,-1,-1,7.25,7.25,8.50,
02000005,7.80,6.50,9.00,-1,-1,-1,4.50,5.00,8.75,
02000006,7.40,7.25,8.40,7.25,5.50,6.00,-1,-1,-1,
02000007,7.60,8.25,9.60,-1,-1,-1,7.75,8.25,7.75,
02000008,7.60,4.50,7.00,3.75,8.25,8.00,-1,-1,-1,
02000009,4.40,8.00,-1,-1,-1,-1,5.25,7.00,8.50,
02000010,7.80,6.50,9.40,7.25,6.50,7.25,-1,-1,-1,
02000011,7.20,7.50,8.80,7.25,7.50,5.75,-1,-1,-1,
02000012,6.80,6.50,10.00,-1,-1,-1,9.25,8.50,8.50,
02000013,9.20,7.50,8.60,5.75,9.50,8.50,-1,-1,-1,
02000014,7.40,6.50,9.00,-1,-1,-1,8.25,7.00,8.25,
02000015,8.00,5.50,8.20,7.25,3.75,5.25,-1,-1,-1,
02000016,6.60,6.00,7.80,-1,-1,-1,6.75,7.00,8.75,
02000017,8.40,8.25,9.60,7.50,6.00,5.00,-1,-1,-1,
02000018,8.60,7.25,6.60,2.75,8.50,8.75,-1,-1,-1,
02000019,6.20,7.25,8.80,-1,-1,-1,7.75,8.00,8.25,
02000020,8.80,5.25,9.40,5.75,9.75,9.25,-1,-1,-1,
02000021,8.00,8.25,9.00,4.75,8.75,7.25,-1,-1,-1,
02000022,7.20,5.75,-1,6.25,8.25,7.50,-1,-1,-1,
02000023,6.20,5.75,-1,4.75,3.25,5.25,-1,-1,-1,
02000024,8.00,6.75,6.60,6.50,7.50,5.75,-1,-1,-1,
02000025,7.00,7.25,9.00,-1,-1,-1,6.75,7.25,8.75,
02000026,8.40,4.50,8.80,8.00,5.25,6.00,-1,-1,-1,
02000027,6.80,8.75,7.80,-1,-1,-1,7.75,7.75,7.75,
02000028,7.60,4.00,6.80,1.25,7.00,4.50,-1,-1,-1,
02000029,7.60,7.75,8.60,-1,-1,-1,6.25,8.00,8.00,
02000030,8.80,7.25,7.80,4.75,9.25,7.75,-1,-1,-1,
02000031,7.80,7.00,-1,8.00,8.75,5.50,-1,-1,-1,
02000032,7.40,6.50,7.60,4.75,6.75,7.00,-1,-1,-1,
02000033,8.60,6.75,-1,7.00,7.25,5.25,-1,-1,-1,
02000034,7.80,7.00,8.80,-1,-1,-1,5.00,6.75,8.00,
02000035,8.20,7.00,8.60,5.75,9.00,7.50,-1,-1,-1,
02000036,5.80,5.75,-1,3.75,5.00,4.75,-1,-1,-1,
02000037,6.80,7.25,-1,4.00,8.00,7.25,-1,-1,-1,
02000038,7.80,7.25,8.40,6.25,6.00,6.75,-1,-1,-1,
02000039,7.00,7.25,-1,-1,-1,-1,8.50,8.00,7.75,
02000040,7.20,5.75,8.80,4.75,7.25,6.25,-1,-1,-1,
02000041,8.60,7.25,9.40,-1,-1,-1,8.25,8.25,9.75,
02000042,8.00,4.00,8.60,7.25,4.00,4.75,-1,-1,-1,
02000043,7.00,8.50,9.20,-1,-1,-1,8.25,8.75,9.00,
02000044,7.00,7.00,8.20,-1,-1,-1,7.25,7.50,9.50,
02000045,5.20,7.75,7.80,-1,-1,-1,7.75,6.50,8.50,
02000046,7.00,5.75,6.40,6.75,7.50,4.75,-1,-1,-1,
02000047,8.00,6.75,-1,-1,-1,-1,7.75,8.00,8.25,
02000048,8.40,7.50,7.00,5.25,8.25,7.25,-1,-1,-1,
02000049,7.00,7.25,9.20,7.00,4.50,5.50,-1,-1,-1,
02000050,8.20,7.25,9.00,8.75,7.50,5.25,-1,-1,-1,
02000051,8.00,8.50,9.40,-1,-1,-1,8.75,6.00,9.50,
02000052,5.40,8.00,3.60,3.00,4.25,4.50,-1,-1,-1,
02000053,6.20,6.75,7.20,-1,-1,-1,5.75,7.75,8.50,
02000054,8.40,8.00,9.00,5.75,9.00,6.50,-1,-1,-1,
02000055,8.20,5.50,-1,7.75,6.25,6.00,-1,-1,-1,
02000056,8.00,8.00,8.40,-1,-1,-1,6.50,7.50,7.75,
02000057,6.60,7.75,8.00,-1,-1,-1,7.25,6.25,8.25,
02000058,8.20,7.25,-1,5.00,5.00,6.75,-1,-1,-1,
02000059,6.80,7.50,9.40,4.75,6.25,6.50,-1,-1,-1,
02000060,8.60,8.25,9.60,3.75,8.50,8.75,-1,-1,-1,
02000061,7.00,6.00,7.20,-1,-1,-1,7.50,6.50,8.25,
02000062,4.20,5.75,3.80,2.50,3.50,4.00,-1,-1,-1,
02000063,9.20,8.50,9.60,8.25,9.25,8.25,-1,-1,-1,
02000064,7.80,7.50,8.60,7.00,7.50,6.75,-1,-1,-1,
02000065,8.00,6.50,9.20,7.75,5.25,7.25,-1,-1,-1,
02000066,6.00,5.25,5.80,-1,-1,-1,8.00,0.00,0.00,
02000067,8.60,7.00,8.80,-1,-1,-1,7.00,8.75,8.50,
02000068,7.80,7.00,7.80,7.00,8.25,6.25,-1,-1,-1,
02000069,7.40,7.50,8.40,7.25,6.50,7.50,-1,-1,-1,
02000070,7.80,6.50,7.80,7.00,3.50,5.00,-1,-1,-1,
02000071,8.60,6.50,9.00,8.00,8.25,5.75,-1,-1,-1,
02000072,8.20,6.75,8.80,6.75,8.00,5.50,-1,-1,-1,
02000073,4.80,7.00,4.00,3.75,4.50,3.25,-1,-1,-1,
02000074,7.00,8.00,8.60,-1,-1,-1,8.25,8.50,9.00,
02000075,5.40,5.25,4.00,-1,-1,-1,6.75,7.00,8.50,
02000076,9.20,7.25,8.80,9.00,7.50,6.75,-1,-1,-1,
02000077,6.80,8.25,9.20,-1,-1,-1,8.50,8.00,9.50,
02000078,7.80,6.75,7.80,-1,-1,-1,7.00,5.50,7.00,
02000079,7.20,7.00,7.00,5.50,5.50,5.25,-1,-1,-1,
02000080,9.00,7.00,7.60,2.50,4.75,4.50,-1,-1,-1,
02000081,6.80,8.00,9.20,-1,-1,-1,6.75,7.25,8.25,
02000082,5.80,7.00,8.40,-1,-1,-1,6.25,8.00,8.25,
02000083,6.80,6.50,6.00,3.50,7.25,7.00,-1,-1,-1,
02000084,7.80,8.00,8.40,-1,-1,-1,7.25,7.50,9.00,
02000085,8.20,7.50,9.80,-1,-1,-1,8.00,8.00,9.00,
02000086,6.20,6.75,7.60,3.00,7.00,7.50,-1,-1,-1,
02000087,7.60,8.00,7.80,-1,-1,-1,7.00,6.00,7.00,
02000088,7.80,7.75,7.80,5.25,5.00,3.75,-1,-1,-1,
02000089,4.60,7.50,4.40,-1,-1,-1,7.25,6.25,8.50,
02000090,8.60,7.25,9.40,9.00,7.50,7.75,-1,-1,-1,
02000091,6.40,7.75,-1,-1,-1,-1,8.00,8.00,9.00,
02000092,7.60,8.25,9.00,-1,-1,-1,8.00,8.75,8.00,
02000093,8.80,8.50,9.00,6.00,9.00,8.25,-1,-1,-1,
02000094,5.60,7.75,7.40,-1,-1,-1,6.50,7.25,8.50,
02000095,7.80,8.25,9.40,8.00,6.75,7.00,-1,-1,-1,
02000096,6.60,6.00,7.40,4.75,6.00,4.50,-1,-1,-1,
02000097,7.80,8.25,9.00,-1,-1,-1,7.75,8.00,8.75,
02000098,8.20,6.50,6.40,5.50,9.25,8.50,-1,-1,-1,
02000099,7.00,7.75,7.80,-1,-1,-1,7.50,6.75,7.00,
02000100,6.80,7.75,9.20,-1,-1,-1,7.75,7.50,8.75,
02000101,8.20,7.75,-1,-1,-1,-1,9.00,8.00,9.00,
02000102,7.60,7.75,9.20,-1,-1,-1,7.25,8.25,8.75,
02000103,8.00,6.50,7.00,6.00,5.50,4.50,-1,-1,-1,
02000104,7.80,8.00,-1,5.75,6.50,9.00,-1,-1,-1,
02000105,8.00,7.50,8.60,-1,-1,-1,7.25,8.00,8.50,
02000106,8.60,8.50,9.60,-1,-1,-1,7.75,8.00,9.00,
02000107,7.20,7.25,9.40,-1,-1,-1,6.50,6.75,7.50,
02000108,8.20,6.75,7.80,7.50,7.50,6.75,-1,-1,-1,
02000109,8.00,8.00,8.40,8.25,9.50,5.50,-1,-1,-1,
02000110,6.80,6.25,9.00,-1,-1,-1,6.75,6.75,9.00,
02000111,8.00,7.00,8.60,4.00,7.75,8.25,-1,-1,-1,
02000112,3.20,6.25,5.20,-1,-1,-1,6.50,7.00,8.75,
02000113,4.60,6.25,7.60,-1,-1,-1,6.25,7.00,7.25,
02000114,8.20,8.00,9.20,7.25,5.50,6.50,-1,-1,-1,
02000115,9.20,6.75,8.00,8.50,6.00,5.75,-1,-1,-1,
02000116,7.00,6.00,8.00,-1,-1,-1,7.75,7.75,8.75,
02000117,8.00,7.00,9.00,-1,-1,-1,8.75,8.50,8.75,
02000118,8.60,7.50,6.60,7.50,7.25,6.50,-1,-1,-1,
02000119,8.00,8.00,-1,5.50,6.75,5.50,-1,-1,-1,
02000120,7.80,8.25,9.20,6.00,4.75,7.00,-1,-1,-1,
02000121,7.60,5.75,8.20,7.25,5.00,6.00,-1,-1,-1,
02000122,8.00,7.50,8.40,-1,-1,-1,7.25,7.25,8.75,
02000123,7.20,6.50,6.40,7.50,4.25,4.25,-1,-1,-1,
02000124,8.60,5.75,6.40,8.25,8.50,6.00,-1,-1,-1,
02000125,7.80,7.25,9.00,-1,-1,-1,7.50,7.50,8.25,
02000126,8.20,6.25,8.40,6.00,7.50,5.50,-1,-1,-1,
02000127,8.00,5.50,6.80,7.75,7.75,5.25,-1,-1,-1,
02000128,7.80,5.50,5.40,7.50,7.50,4.00,-1,-1,-1,
02000129,7.60,7.00,6.60,7.50,6.75,5.25,-1,-1,-1,
02000130,6.60,6.25,-1,5.00,5.00,4.50,-1,-1,-1,
02000131,8.80,7.50,8.40,8.00,8.50,7.25,-1,-1,-1,
02000132,8.60,4.75,8.80,8.00,7.75,5.75,-1,-1,-1,
02000133,5.40,7.25,9.40,-1,-1,-1,8.00,7.50,8.50,
02000134,7.40,6.00,-1,8.25,6.25,4.75,-1,-1,-1,
02000135,8.40,5.75,9.80,6.75,5.25,8.00,-1,-1,-1,
02000136,8.80,6.75,8.20,8.00,5.25,6.00,-1,-1,-1,
02000137,8.00,8.00,8.80,7.25,5.50,6.00,-1,-1,-1,
02000138,8.20,6.25,8.60,5.50,7.00,5.00,-1,-1,-1,
02000139,7.00,6.75,8.20,8.50,3.50,5.75,-1,-1,-1,
02000140,7.80,5.00,8.80,7.75,5.50,6.00,-1,-1,-1,
02000141,8.60,3.00,7.40,3.00,8.50,8.75,-1,-1,-1,
02000142,4.60,5.75,4.60,-1,-1,-1,4.75,6.25,7.75,
02000143,8.00,8.00,9.00,-1,-1,-1,8.25,9.00,9.25,
02000144,8.00,7.00,7.60,6.25,5.75,6.50,-1,-1,-1,
02000145,7.40,7.50,8.60,6.50,6.00,5.25,-1,-1,-1,
02000146,7.60,8.25,8.20,-1,-1,-1,5.25,7.75,8.25,
02000147,8.20,7.75,9.20,-1,-1,-1,9.25,8.75,9.25,
02000148,9.00,6.00,9.20,8.75,3.00,2.75,-1,-1,-1,
02000149,7.00,6.50,-1,-1,-1,-1,7.75,7.00,8.50,
02000150,8.40,6.75,8.20,6.25,9.25,9.25,-1,-1,-1,
02000151,8.20,6.00,8.00,4.25,9.25,8.50,-1,-1,-1,
02000152,7.40,7.00,7.20,6.00,7.50,5.50,-1,-1,-1,
02000153,7.20,8.25,9.40,-1,-1,-1,8.75,8.25,9.50,
02000154,8.40,5.75,9.40,6.00,7.25,5.00,-1,-1,-1,
02000155,6.40,8.75,9.00,-1,-1,-1,6.00,7.00,7.50,
02000156,7.80,8.00,9.20,5.50,6.25,6.75,-1,-1,-1,
02000157,7.00,6.25,5.80,6.25,7.50,5.50,-1,-1,-1,
02000158,8.40,7.25,8.40,7.75,7.00,6.25,-1,-1,-1,
02000159,8.40,8.25,-1,6.00,4.25,6.00,-1,-1,-1,
02000160,8.20,6.25,8.80,4.50,8.50,8.00,-1,-1,-1,
02000161,7.80,6.25,9.40,3.25,8.00,8.50,-1,-1,-1,
02000162,7.00,7.50,8.00,4.25,3.25,5.00,-1,-1,-1,
02000163,7.00,8.00,8.80,-1,-1,-1,8.25,8.75,8.50,
02000164,7.40,8.00,8.40,-1,-1,-1,8.00,8.00,9.00,
02000165,5.60,7.00,7.80,-1,-1,-1,6.75,5.75,8.00,
02000166,8.20,7.50,7.20,4.25,8.00,8.75,-1,-1,-1,
02000167,8.80,7.50,9.80,8.00,7.50,6.00,-1,-1,-1,
02000168,8.20,7.25,8.80,7.25,3.50,4.75,-1,-1,-1,
02000169,8.20,6.00,7.20,4.00,9.75,8.00,-1,-1,-1,
02000170,7.60,6.50,9.40,6.75,8.50,6.50,-1,-1,-1,
02000171,8.00,6.00,9.00,7.50,8.25,6.75,-1,-1,-1,
02000172,6.80,6.75,7.20,5.50,3.75,5.00,-1,-1,-1,
02000173,8.80,5.75,-1,5.50,9.00,9.25,-1,-1,-1,
02000174,6.80,8.25,8.80,-1,-1,-1,6.50,7.50,9.00,
02000175,7.80,5.75,8.40,7.50,5.75,3.50,-1,-1,-1,
02000176,5.80,6.50,-1,-1,-1,-1,6.25,5.00,7.00,
02000177,8.00,5.75,7.80,7.50,4.50,3.25,-1,-1,-1,
02000178,7.00,5.75,7.60,4.00,6.50,6.00,-1,-1,-1,
02000179,7.60,5.00,9.20,7.00,7.75,6.50,-1,-1,-1,
02000180,7.20,7.25,7.60,6.75,8.50,7.00,-1,-1,-1,
02000181,7.60,7.75,8.00,-1,-1,-1,8.75,7.50,8.75,
02000182,7.40,5.75,8.80,5.50,5.50,6.50,-1,-1,-1,
02000183,8.20,6.25,8.60,7.50,7.75,6.00,-1,-1,-1,
02000184,7.20,6.00,8.00,5.75,2.75,5.00,-1,-1,-1,
02000185,8.20,7.00,6.80,7.25,3.50,4.75,-1,-1,-1,
02000186,5.60,6.25,8.60,-1,-1,-1,6.00,7.25,7.50,
02000187,6.00,6.25,5.80,-1,-1,-1,6.25,7.00,8.00,
02000188,8.40,8.00,9.20,7.25,8.25,7.50,-1,-1,-1,
02000189,7.40,7.50,-1,-1,-1,-1,8.50,9.50,8.50,
02000190,8.20,6.25,9.00,7.25,5.25,4.25,-1,-1,-1,
02000191,8.20,5.25,6.60,7.25,7.50,6.50,-1,-1,-1,
02000192,7.20,7.50,5.00,6.00,7.00,6.00,-1,-1,-1,
