sbd,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd
2000001,7.8,8,8.4,,,,7.5,5.5,8.75
2000002,7,8.25,9,4.5,5.75,5.5,,,
2000003,8.4,5.25,9.6,8.5,7.75,7.25,,,
2000004,8.4,6,4.8,8.25,7.5,4.25,,,
2000005,8.6,7.25,9,7,7,5.75,,,
2000006,7.6,6,,5.5,5.25,6.25,,,
2000007,6.6,7,,3.5,4.25,6.75,,,
2000008,6.4,6.75,8,6.25,6.5,5.25,,,
2000009,5.2,7.75,7.6,,,,5.25,5.5,6.5
2000010,8.2,7.5,8.2,7.25,7.25,6.75,,,
2000011,8.4,6.5,7,5.5,7.5,9.25,,,
2000012,8,6.5,8.4,7.75,7,6.75,,,
2000013,6.8,6.75,8,8.75,4.5,6.5,,,
2000014,7,6.75,9.2,,,,6,5.25,8
2000015,6.6,7.75,7.4,,,,4.25,4.5,7.25
2000016,8.2,8.5,7.6,,,,5.25,6.25,7.75
2000017,6,6.75,7.4,,,,5.75,5,7.75
2000018,7.4,7.25,6.6,6.5,8,6.75,,,
2000019,7.4,7.75,8.8,,,,6,5.25,8.75
2000020,8,5.75,8.2,5,7.75,8.5,,,
2000021,7.8,6.25,7.4,5.5,5,6.25,,,
2000022,7.6,7.75,5.4,7,8.25,6.25,,,
2000023,7,5.75,7.2,6.5,1.5,4.75,,,
2000024,7.6,7,8.4,7.75,7.75,5,,,
2000025,8,7.75,,,,,7.5,7.25,9.5
2000026,8.2,7.75,8.6,6.75,5.75,6.5,,,
2000027,7.4,5.75,5,,,,7,6,9.75
2000028,8.4,6,6,4.75,7.75,6.5,,,
2000029,7,7,8.6,5.75,6.25,4.5,,,
2000030,7.6,7,9.4,,,,7.25,6,9
2000031,7.6,6.75,9,,,,6,6,9.75
2000032,7.2,6.25,8,5.25,5,6,,,
2000033,7.8,7.75,8.8,,,,7.25,4.75,7.75
2000034,7,6.75,7.8,6.5,6,7.75,,,
2000035,7.4,5.5,9.2,7.25,4.25,3.25,,,
2000036,8,7.5,6.6,6.25,4.5,6.75,,,
2000037,8.4,7,,,,,5.25,6,7.25
2000038,7.6,6,8.2,7.25,7.75,7.25,,,
2000039,8.2,7.5,8.8,8.75,7,6,,,
2000040,6.4,8,,,,,5.25,5.75,7
2000041,8,5.5,7.8,8.25,6.75,6.75,,,
2000042,8,7,7.4,6,6.25,5.25,,,
2000043,6.4,6.5,9.4,,,,7,6.25,9.5
2000044,7.4,7.25,8.2,7.25,7,6.25,,,
2000045,7.6,7.75,8.2,5.5,6.5,7.25,,,
2000046,8,4.5,9.4,6.5,3.25,6,,,
2000047,8.2,5.25,8.8,7.5,4,4.5,,,
2000048,7.4,6.25,8.6,6,7,7.25,,,
