sbd,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,ma_ngoai_ngu
02000001,8.0,7.0,8.2,7.25,7.75,5.25,,,,N1
02000002,6.0,7.25,6.6,,,,6.75,5.75,7.25,N1
02000003,9.2,7.75,9.8,8.5,9.0,8.0,,,,N1
02000004,8.2,7.5,9.4,,,,7.25,7.25,8.5,N1
02000005,7.8,6.5,9.0,,,,4.5,5.0,8.75,N1
02000006,7.4,7.25,8.4,7.25,5.5,6.0,,,,N1
02000007,7.6,8.25,9.6,,,,7.75,8.25,7.75,N1
02000008,7.6,4.5,7.0,3.75,8.25,8.0,,,,N1
02000009,4.4,8.0,,,,,5.25,7.0,8.5,
02000010,7.8,6.5,9.4,7.25,6.5,7.25,,,,N1
02000011,7.2,7.5,8.8,7.25,7.5,5.75,,,,N1
02000012,6.8,6.5,10.0,,,,9.25,8.5,8.5,N1
02000013,9.2,7.5,8.6,5.75,9.5,8.5,,,,N1
02000014,7.4,6.5,9.0,,,,8.25,7.0,8.25,N1
02000015,8.0,5.5,8.2,7.25,3.75,5.25,,,,N1
02000016,6.6,6.0,7.8,,,,6.75,7.0,8.75,N1
02000017,8.4,8.25,9.6,7.5,6.0,5.0,,,,N1
02000018,8.6,7.25,6.6,2.75,8.5,8.75,,,,N1
02000019,6.2,7.25,8.8,,,,7.75,8.0,8.25,N1
02000020,8.8,5.25,9.4,5.75,9.75,9.25,,,,N1
02000021,8.0,8.25,9.0,4.75,8.75,7.25,,,,N1
02000022,7.2,5.75,,6.25,8.25,7.5,,,,
02000023,6.2,5.75,,4.75,3.25,5.25,,,,
02000024,8.0,6.75,6.6,6.5,7.5,5.75,,,,N1
02000025,7.0,7.25,9.0,,,,6.75,7.25,8.75,N1
02000026,8.4,4.5,8.8,8.0,5.25,6.0,,,,N1
02000027,6.8,8.75,7.8,,,,7.75,7.75,7.75,N1
02000028,7.6,4.0,6.8,1.25,7.0,4.5,,,,N1
02000029,7.6,7.75,8.6,,,,6.25,8.0,8.0,N1
02000030,8.8,7.25,7.8,4.75,9.25,7.75,,,,N1
02000031,7.8,7.0,,8.0,8.75,5.5,,,,
02000032,7.4,6.5,7.6,4.75,6.75,7.0,,,,N1
02000033,8.6,6.75,,7.0,7.25,5.25,,,,
02000034,7.8,7.0,8.8,,,,5.0,6.75,8.0,N1
02000035,8.2,7.0,8.6,5.75,9.0,7.5,,,,N1
02000036,5.8,5.75,,3.75,5.0,4.75,,,,
02000037,6.8,7.25,,4.0,8.0,7.25,,,,
02000038,7.8,7.25,8.4,6.25,6.0,6.75,,,,N1
02000039,7.0,7.25,,,,,8.5,8.0,7.75,
02000040,7.2,5.75,8.8,4.75,7.25,6.25,,,,N1
02000041,8.6,7.25,9.4,,,,8.25,8.25,9.75,N1
02000042,8.0,4.0,8.6,7.25,4.0,4.75,,,,N1
02000043,7.0,8.5,9.2,,,,8.25,8.75,9.0,N1
02000044,7.0,7.0,8.2,,,,7.25,7.5,9.5,N1
02000045,5.2,7.75,7.8,,,,7.75,6.5,8.5,N1
02000046,7.0,5.75,6.4,6.75,7.5,4.75,,,,N1
02000047,8.0,6.75,,,,,7.75,8.0,8.25,
02000048,8.4,7.5,7.0,5.25,8.25,7.25,,,,N1
02000049,7.0,7.25,9.2,7.0,4.5,5.5,,,,N1
02000050,8.2,7.25,9.0,8.75,7.5,5.25,,,,N1
02000051,8.0,8.5,9.4,,,,8.75,6.0,9.5,N1
02000052,5.4,8.0,3.6,3.0,4.25,4.5,,,,N1
02000053,6.2,6.75,7.2,,,,5.75,7.75,8.5,N1
02000054,8.4,8.0,9.0,5.75,9.0,6.5,,,,N1
02000055,8.2,5.5,,7.75,6.25,6.0,,,,
02000056,8.0,8.0,8.4,,,,6.5,7.5,7.75,N1
02000057,6.6,7.75,8.0,,,,7.25,6.25,8.25,N1
02000058,8.2,7.25,,5.0,5.0,6.75,,,,
02000059,6.8,7.5,9.4,4.75,6.25,6.5,,,,N1
02000060,8.6,8.25,9.6,3.75,8.5,8.75,,,,N1
02000061,7.0,6.0,7.2,,,,7.5,6.5,8.25,N1
02000062,4.2,5.75,3.8,2.5,3.5,4.0,,,,N1
02000063,9.2,8.5,9.6,8.25,9.25,8.25,,,,N1
02000064,7.8,7.5,8.6,7.0,7.5,6.75,,,,N1
02000065,8.0,6.5,9.2,7.75,5.25,7.25,,,,N1
02000066,6.0,5.25,5.8,,,,8.0,0.0,0.0,N1
02000067,8.6,7.0,8.8,,,,7.0,8.75,8.5,N1
02000068,7.8,7.0,7.8,7.0,8.25,6.25,,,,N1
02000069,7.4,7.5,8.4,7.25,6.5,7.5,,,,N1
02000070,7.8,6.5,7.8,7.0,3.5,5.0,,,,N1
02000071,8.6,6.5,9.0,8.0,8.25,5.75,,,,N1
02000072,8.2,6.75,8.8,6.75,8.0,5.5,,,,N1
02000073,4.8,7.0,4.0,3.75,4.5,3.25,,,,N1
02000074,7.0,8.0,8.6,,,,8.25,8.5,9.0,N1
02000075,5.4,5.25,4.0,,,,6.75,7.0,8.5,N1
02000076,9.2,7.25,8.8,9.0,7.5,6.75,,,,N1
02000077,6.8,8.25,9.2,,,,8.5,8.0,9.5,N1
02000078,7.8,6.75,7.8,,,,7.0,5.5,7.0,N1
02000079,7.2,7.0,7.0,5.5,5.5,5.25,,,,N1
02000080,9.0,7.0,7.6,2.5,4.75,4.5,,,,N1
02000081,6.8,8.0,9.2,,,,6.75,7.25,8.25,N6
02000082,5.8,7.0,8.4,,,,6.25,8.0,8.25,N1
02000083,6.8,6.5,6.0,3.5,7.25,7.0,,,,N1
02000084,7.8,8.0,8.4,,,,7.25,7.5,9.0,N1
02000085,8.2,7.5,9.8,,,,8.0,8.0,9.0,N1
02000086,6.2,6.75,7.6,3.0,7.0,7.5,,,,N1
02000087,7.6,8.0,7.8,,,,7.0,6.0,7.0,N1
02000088,7.8,7.75,7.8,5.25,5.0,3.75,,,,N1
02000089,4.6,7.5,4.4,,,,7.25,6.25,8.5,N1
02000090,8.6,7.25,9.4,9.0,7.5,7.75,,,,N1
02000091,6.4,7.75,,,,,8.0,8.0,9.0,
02000092,7.6,8.25,9.0,,,,8.0,8.75,8.0,N1
02000093,8.8,8.5,9.0,6.0,9.0,8.25,,,,N1
02000094,5.6,7.75,7.4,,,,6.5,7.25,8.5,N1
02000095,7.8,8.25,9.4,8.0,6.75,7.0,,,,N1
02000096,6.6,6.0,7.4,4.75,6.0,4.5,,,,N1
02000097,7.8,8.25,9.0,,,,7.75,8.0,8.75,N1
02000098,8.2,6.5,6.4,5.5,9.25,8.5,,,,N1
02000099,7.0,7.75,7.8,,,,7.5,6.75,7.0,N1
02000100,6.8,7.75,9.2,,,,7.75,7.5,8.75,N1
02000101,8.2,7.75,,,,,9.0,8.0,9.0,
02000102,7.6,7.75,9.2,,,,7.25,8.25,8.75,N1
02000103,8.0,6.5,7.0,6.0,5.5,4.5,,,,N1
02000104,7.8,8.0,,5.75,6.5,9.0,,,,
02000105,8.0,7.5,8.6,,,,7.25,8.0,8.5,N1
02000106,8.6,8.5,9.6,,,,7.75,8.0,9.0,N1
02000107,7.2,7.25,9.4,,,,6.5,6.75,7.5,N1
02000108,8.2,6.75,7.8,7.5,7.5,6.75,,,,N1
02000109,8.0,8.0,8.4,8.25,9.5,5.5,,,,N1
02000110,6.8,6.25,9.0,,,,6.75,6.75,9.0,N1
02000111,8.0,7.0,8.6,4.0,7.75,8.25,,,,N1
02000112,3.2,6.25,5.2,,,,6.5,7.0,8.75,N1
02000113,4.6,6.25,7.6,,,,6.25,7.0,7.25,N1
02000114,8.2,8.0,9.2,7.25,5.5,6.5,,,,N1
02000115,9.2,6.75,8.0,8.5,6.0,5.75,,,,N1
02000116,7.0,6.0,8.0,,,,7.75,7.75,8.75,N1
02000117,8.0,7.0,9.0,,,,8.75,8.5,8.75,N1
02000118,8.6,7.5,6.6,7.5,7.25,6.5,,,,N1
02000119,8.0,8.0,,5.5,6.75,5.5,,,,
02000120,7.8,8.25,9.2,6.0,4.75,7.0,,,,N1
02000121,7.6,5.75,8.2,7.25,5.0,6.0,,,,N1
02000122,8.0,7.5,8.4,,,,7.25,7.25,8.75,N1
02000123,7.2,6.5,6.4,7.5,4.25,4.25,,,,N1
02000124,8.6,5.75,6.4,8.25,8.5,6.0,,,,N1
02000125,7.8,7.25,9.0,,,,7.5,7.5,8.25,N1
02000126,8.2,6.25,8.4,6.0,7.5,5.5,,,,N1
02000127,8.0,5.5,6.8,7.75,7.75,5.25,,,,N1
02000128,7.8,5.5,5.4,7.5,7.5,4.0,,,,N1
02000129,7.6,7.0,6.6,7.5,6.75,5.25,,,,N1
02000130,6.6,6.25,,5.0,5.0,4.5,,,,
02000131,8.8,7.5,8.4,8.0,8.5,7.25,,,,N1
02000132,8.6,4.75,8.8,8.0,7.75,5.75,,,,N1
02000133,5.4,7.25,9.4,,,,8.0,7.5,8.5,N1
02000134,7.4,6.0,,8.25,6.25,4.75,,,,
02000135,8.4,5.75,9.8,6.75,5.25,8.0,,,,N1
02000136,8.8,6.75,8.2,8.0,5.25,6.0,,,,N1
02000137,8.0,8.0,8.8,7.25,5.5,6.0,,,,N1
02000138,8.2,6.25,8.6,5.5,7.0,5.0,,,,N1
02000139,7.0,6.75,8.2,8.5,3.5,5.75,,,,N1
02000140,7.8,5.0,8.8,7.75,5.5,6.0,,,,N1
02000141,8.6,3.0,7.4,3.0,8.5,8.75,,,,N1
02000142,4.6,5.75,4.6,,,,4.75,6.25,7.75,N1
02000143,8.0,8.0,9.0,,,,8.25,9.0,9.25,N1
02000144,8.0,7.0,7.6,6.25,5.75,6.5,,,,N1
02000145,7.4,7.5,8.6,6.5,6.0,5.25,,,,N1
02000146,7.6,8.25,8.2,,,,5.25,7.75,8.25,N1
02000147,8.2,7.75,9.2,,,,9.25,8.75,9.25,N1
02000148,9.0,6.0,9.2,8.75,3.0,2.75,,,,N1
02000149,7.0,6.5,,,,,7.75,7.0,8.5,
02000150,8.4,6.75,8.2,6.25,9.25,9.25,,,,N1
02000151,8.2,6.0,8.0,4.25,9.25,8.5,,,,N1
02000152,7.4,7.0,7.2,6.0,7.5,5.5,,,,N1
02000153,7.2,8.25,9.4,,,,8.75,8.25,9.5,N1
02000154,8.4,5.75,9.4,6.0,7.25,5.0,,,,N1
02000155,6.4,8.75,9.0,,,,6.0,7.0,7.5,N1
02000156,7.8,8.0,9.2,5.5,6.25,6.75,,,,N1
02000157,7.0,6.25,5.8,6.25,7.5,5.5,,,,N1
02000158,8.4,7.25,8.4,7.75,7.0,6.25,,,,N1
02000159,8.4,8.25,,6.0,4.25,6.0,,,,
02000160,8.2,6.25,8.8,4.5,8.5,8.0,,,,N1
02000161,7.8,6.25,9.4,3.25,8.0,8.5,,,,N1
02000162,7.0,7.5,8.0,4.25,3.25,5.0,,,,N1
02000163,7.0,8.0,8.8,,,,8.25,8.75,8.5,N1
02000164,7.4,8.0,8.4,,,,8.0,8.0,9.0,N1
02000165,5.6,7.0,7.8,,,,6.75,5.75,8.0,N1
02000166,8.2,7.5,7.2,4.25,8.0,8.75,,,,N1
02000167,8.8,7.5,9.8,8.0,7.5,6.0,,,,N1
02000168,8.2,7.25,8.8,7.25,3.5,4.75,,,,N1
02000169,8.2,6.0,7.2,4.0,9.75,8.0,,,,N1
02000170,7.6,6.5,9.4,6.75,8.5,6.5,,,,N1
02000171,8.0,6.0,9.0,7.5,8.25,6.75,,,,N1
02000172,6.8,6.75,7.2,5.5,3.75,5.0,,,,N1
02000173,8.8,5.75,,5.5,9.0,9.25,,,,
02000174,6.8,8.25,8.8,,,,6.5,7.5,9.0,N1
02000175,7.8,5.75,8.4,7.5,5.75,3.5,,,,N1
02000176,5.8,6.5,,,,,6.25,5.0,7.0,
02000177,8.0,5.75,7.8,7.5,4.5,3.25,,,,N1
02000178,7.0,5.75,7.6,4.0,6.5,6.0,,,,N1
02000179,7.6,5.0,9.2,7.0,7.75,6.5,,,,N1
02000180,7.2,7.25,7.6,6.75,8.5,7.0,,,,N1
02000181,7.6,7.75,8.0,,,,8.75,7.5,8.75,N1
02000182,7.4,5.75,8.8,5.5,5.5,6.5,,,,N1
02000183,8.2,6.25,8.6,7.5,7.75,6.0,,,,N1
02000184,7.2,6.0,8.0,5.75,2.75,5.0,,,,N1
02000185,8.2,7.0,6.8,7.25,3.5,4.75,,,,N1
02000186,5.6,6.25,8.6,,,,6.0,7.25,7.5,N1
02000187,6.0,6.25,5.8,,,,6.25,7.0,8.0,N1
02000188,8.4,8.0,9.2,7.25,8.25,7.5,,,,N1
02000189,7.4,7.5,,,,,8.5,9.5,8.5,
02000190,8.2,6.25,9.0,7.25,5.25,4.25,,,,N1
02000191,8.2,5.25,6.6,7.25,7.5,6.5,,,,N1
02000192,7.2,7.5,5.0,6.0,7.0,6.0,,,,N1
02000193,8.2,6.75,6.6,7.0,7.25,4.5,,,,N1
02000194,7.8,6.25,8.8,5.5,5.0,6.25,,,,N1
02000195,8.0,7.5,8.6,,,,6.5,7.75,8.0,N1
02000196,4.0,6.75,6.2,,,,7.75,5.75,6.5,N1
02000197,5.2,5.75,7.6,,,,6.25,6.75,8.5,N1
02000198,7.6,7.25,,,,,7.5,8.75,9.25,
02000199,7.4,5.5,,,,,8.5,8.5,9.0,
02000200,8.2,5.5,7.4,4.5,10.0,9.0,,,,N1
02000201,8.2,7.5,9.0,,,,7.75,8.5,9.5,N1
02000202,8.2,8.0,6.4,,,,7.75,7.25,8.5,N1
02000203,7.6,6.75,9.8,5.75,3.75,5.25,,,,N1
02000204,6.4,6.25,7.0,5.0,7.0,4.0,,,,N1
02000205,8.4,6.75,,3.25,9.25,7.75,,,,
02000206,8.6,2.75,,4.25,8.5,8.75,,,,
02000207,8.2,6.5,9.4,2.5,9.0,9.25,,,,N1
02000208,8.0,8.0,,7.0,7.75,7.25,,,,
02000209,7.8,7.5,,6.5,8.25,5.75,,,,
02000210,7.4,7.5,7.4,,,,7.5,8.5,8.5,N1
02000211,7.0,7.25,7.4,5.5,4.5,5.25,,,,N1
02000212,8.6,5.0,8.8,6.5,9.0,6.75,,,,N1
02000213,8.0,6.0,9.0,8.5,6.25,5.75,,,,N1
02000214,6.6,6.5,7.8,4.0,4.25,4.5,,,,N1
02000215,8.2,6.25,9.4,6.0,7.0,4.5,,,,N1
02000216,8.0,7.5,9.2,7.5,7.0,6.0,,,,N1
02000217,8.4,6.75,9.6,7.0,4.25,5.0,,,,N1
02000218,9.0,8.0,8.2,6.75,7.25,6.25,,,,N1
02000219,7.8,5.25,8.6,6.75,5.5,5.75,,,,N1
02000220,7.4,5.75,8.4,8.0,4.0,5.5,,,,N1
02000221,8.2,7.0,9.0,8.0,4.75,4.75,,,,N1
02000222,5.2,7.0,8.4,,,,7.0,5.75,7.5,N1
02000223,6.6,7.0,8.0,5.25,3.75,5.0,,,,N1
02000224,6.4,6.0,5.4,5.25,4.75,5.25,,,,N1
02000225,6.6,7.25,7.6,7.0,5.75,4.25,,,,N1
02000226,8.0,4.5,6.4,4.0,9.0,9.0,,,,N1
02000227,9.0,6.75,9.6,7.75,9.0,6.5,,,,N1
02000228,8.0,6.75,6.0,7.5,8.5,5.5,,,,N1
02000229,6.6,7.0,9.4,,,,5.75,5.5,8.25,N1
02000230,7.4,6.0,,,,,7.25,8.0,8.75,
02000231,6.8,8.25,9.0,6.75,8.25,8.25,,,,N1
02000232,4.6,6.25,5.8,,,,7.75,8.0,7.5,N1
02000233,6.8,6.75,10.0,6.25,5.25,6.5,,,,N1
